,Clip,target1,mel_spectogram,rmse,centroid,roll_off,spectral_flatness,chromagram,tonal
0,1-104089-A-22.wav,10,0.039868994637135474,0.21038876473903656,-0.009540412056141008,0.0904303209255,0.000568817,0.487663899094,0.573520159147
1,3-246513-B-16.wav,50,0.019930428837508004,0.10206958651542664,-0.00954785482073329,0.243399970957,0.00518822,0.475759477968,0.543975251196
2,1-96950-B-9.wav,17,0.0008416870726726443,0.024687200784683228,-0.00955317187383683,0.105542378624,0.000500841,0.512985677261,0.825994199454
3,2-105270-A-47.wav,1,0.008066521142373804,0.08083265274763107,-0.009549314040268835,0.260670894041,0.00228788,0.296620115188,0.516056977342
4,4-90014-B-42.wav,41,0.00021438637612576007,0.0044778576120734215,-0.009554560486217415,0.324042790067,0.537329,0.334689029144,0.618729790445
5,1-47273-A-21.wav,42,0.02146520668291709,0.12332344055175781,-0.00954639443855532,0.378716297982,0.0255269,0.649824284974,0.568769014535
6,1-39901-A-11.wav,39,0.0013460330245054452,0.0385783389210701,-0.009552217394112732,0.666707004211,0.129706,0.540053772639,0.656653686321
7,1-19840-A-36.wav,47,0.02210534367955754,0.13803699612617493,-0.009545383449128237,0.436991141875,0.0505042,0.85251745556,0.594584248091
8,1-28135-B-11.wav,39,0.012759505197557095,0.07065292447805405,-0.009550013503658314,0.0005857011472,0.590789,0.419518509627,0.640437633757
9,2-134915-A-30.wav,21,0.058224196481485066,0.2056226134300232,-0.009540739545406648,0.363008858125,0.0104717,0.318493186407,0.532606404731
10,2-60180-A-49.wav,28,0.0739017229100266,0.2683510482311249,-0.00953642938529902,0.352538845055,0.0124121,0.696193890715,0.562933966509
11,5-180156-B-43.wav,5,0.0002949110759358784,0.015697751194238663,-0.00955378955150618,0.442552882521,0.0271583,0.78715254188,0.49304849369
12,5-233019-A-31.wav,34,0.0007112273776192842,0.06071815267205238,-0.009550696135915344,0.283469674234,0.00263558,0.998184053589,0.578723146451
13,5-223317-A-31.wav,34,0.059628996149069226,0.2221834808588028,-0.009539601625250227,0.193358826662,0.00100056,0.690347340163,0.597965223309
14,4-161105-B-47.wav,1,0.11594590165138534,0.29590925574302673,-0.009534535823678934,0.151183503558,0.000535468,0.271928794612,0.572508060119
15,3-160993-A-3.wav,14,0.004507689363386133,0.05260118842124939,-0.009551253864106629,0.463672007358,0.030102,0.63210185123,0.546457555821
16,3-135650-B-45.wav,46,0.0005109451153232839,0.01035443414002657,-0.00955415669832431,0.160065830873,0.807738,0.0964407248776,0.576278936676
17,2-66205-A-23.wav,2,0.00011227741386087543,0.006011512130498886,-0.009554455106627427,0.587235587395,0.0548476,0.577664440451,0.556043669832
18,1-47819-A-5.wav,6,0.060742886167293834,0.22566641867160797,-0.00953936230730659,0.147645094148,0.000155157,0.411841116132,0.704240451585
19,1-54747-A-46.wav,9,0.01413981726964731,0.17698293924331665,-0.009542707419060797,0.574108136889,0.0222666,0.379716989345,0.524425974623
